URL,Detail,Linked From,Detected
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6&size=50&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=a6fbqvll1od3pkbs65due94pm2&PHPSESSID=a6fbqvll1od3pkbs65due94pm2,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=28&PHPSESSID=k87623cg5ad5dnetqfl35qgmc1&PHPSESSID=k87623cg5ad5dnetqfl35qgmc1,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=a6fbqvll1od3pkbs65due94pm2&size=10&PHPSESSID=a6fbqvll1od3pkbs65due94pm2,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6&size=10&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6&size=20&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=7h92utnbvmb73ncnload91j7p4&size=50&PHPSESSID=7h92utnbvmb73ncnload91j7p4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6&PHPSESSID=8lueqbf0tthr2jc6qi20eg33r6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=7h92utnbvmb73ncnload91j7p4&size=20&PHPSESSID=7h92utnbvmb73ncnload91j7p4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=7h92utnbvmb73ncnload91j7p4&size=10&PHPSESSID=7h92utnbvmb73ncnload91j7p4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=7h92utnbvmb73ncnload91j7p4&PHPSESSID=7h92utnbvmb73ncnload91j7p4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62&size=50&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62&size=10&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62&size=20&PHPSESSID=5rq1m12ntfc4iq0m8fbdoibk62,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5npkuigfga1g94kaq8ban36844&size=50&PHPSESSID=5npkuigfga1g94kaq8ban36844,404 (Not found),unavailable,10/9/11
